"areacode","studysite","shot_number","beam","time","l4_agbd","l4_agbd_se","biwf","hse","k_allom"
"MON02h","MONDAH","191230600200292769","BEAM0110",2022-04-28 23:38:03.253,149.032562255859,17.1204929351807,33.482042368795,1.35000002384186,1
"MON02h","MONDAH","191230600200292770","BEAM0110",2022-04-28 23:38:03.261,162.021102905273,17.1215896606445,36.9322262159155,1.35000002384186,1
"MON21Ah","MONDAH","37410500300446759","BEAM0101",2019-08-10 20:05:46.055,121.69010925293,17.1228771209717,26.1010006369015,1.35000002384186,1
"MAB04h","MABOUNIE","173991100100056706","BEAM1011",2022-01-07 19:29:29.319,252.044937133789,17.1212558746338,55.5028804073703,1.35000002384186,1
"MAB04h","MABOUNIE","173991100100056707","BEAM1011",2022-01-07 19:29:29.327,426.974426269531,17.1266746520996,96.1595126022091,1.35000002384186,1
"MAB05h","MABOUNIE","173990800100060781","BEAM1000",2022-01-07 19:29:30.885,332.881469726562,17.1218414306641,69.8614320615639,1.35000002384186,1
"LOP01h","LOPE","165451100200080386","BEAM1011",2021-11-13 17:15:33.827,10.2860488891602,17.1409816741943,0,1.35000002384186,1
"LOP01h","LOPE","165451100200080387","BEAM1011",2021-11-13 17:15:33.835999,10.5249633789062,17.1407680511475,0,1.35000002384186,1
"LOP03h","LOPE","78600600400730683","BEAM0110",2020-05-02 10:50:43.985001,38.3581161499023,17.1321029663086,2.91198645025568,1.35000002384186,1
"LOP03h","LOPE","141360800200062229","BEAM1000",2021-06-11 06:42:11.586,12.1210432052612,17.1388664245605,0.0578953080785779,1.35000002384186,1
"LOP03h","LOPE","141360800200062230","BEAM1000",2021-06-11 06:42:11.595,11.2582368850708,17.1393527984619,0,1.35000002384186,1
"LOP07h","LOPE","141360800200062246","BEAM1000",2021-06-11 06:42:11.727,296.686706542969,17.1256294250488,71.1281492049035,1.35000002384186,1
"LOP08h","LOPE","165450500200080555","BEAM0101",2021-11-13 17:15:33.712002,399.730743408203,17.1295623779297,92.7264381692242,1.35000002384186,1
"LOP08h","LOPE","165450500200080556","BEAM0101",2021-11-13 17:15:33.720001,397.882171630859,17.1283645629883,92.7913192417955,1.35000002384186,1
"LOP09h","LOPE","141360600200277045","BEAM0110",2021-06-11 06:42:11.375,411.186340332031,17.1281871795654,92.6122146892721,1.35000002384186,1
"LOP09h","LOPE","141360600200277046","BEAM0110",2021-06-11 06:42:11.384,264.596649169922,17.121208190918,56.0017481811343,1.35000002384186,1
"LOP12h","LOPE","158050200400319849","BEAM0010",2021-09-27 00:07:20.163,90.4560928344727,17.1238136291504,21.9388084895417,1.35000002384186,1
