areacode,mean_biwf,mean_l4_agbd,n_gedi_shots
LOP01h,0,10.587346076965332,5
LOP03h,38.902018033942404,74.66075253486633,8
LOP07h,159.5350234367986,242.44510154724122,10
LOP08h,244.96597202560648,347.67117091587613,7
LOP09h,182.56592856312068,277.84239087785994,7
LOP12h,181.14300575992195,294.9810989379883,5
LPG01h,120.05265516752881,200.1904067993164,2
LPG02h,28.867758775267326,62.26484298706055,1
MAB01h,107.283994611802,179.43000962999133,9
MAB02h,110.84603481775511,186.81290326799666,7
MAB04h,184.10434832127694,286.7905670166016,5
MAB05h,266.5388444914593,408.49772491455076,10
MAB06h,114.16017170492488,189.03437614440918,4
MAB11h,108.38257615092469,181.44772338867188,5
MAB12h,30.010737146950238,61.66341336568197,3
MON01h,106.37811847276629,182.82025337219238,4
MON02h,100.06594727648881,176.53396606445312,7
MON03h,93.50241612365932,168.47138519287108,5
MON05h,17.41282248577155,42.208861112594604,4
MON09h,46.608339341316665,92.99416224161784,3
MON10h,30.22343423749631,63.93884162902832,5
MON11h,66.73741767422024,115.6046371459961,1
MON19h,20.73920049388897,52.136566400527954,8
MON20h,12.144600048285808,42.00987879435221,6
MON21Ah,34.08912628261753,70.1861441930135,9
MON22h,74.52792351031012,120.23806762695312,1
MON23h,92.96681628778413,155.94350814819336,2
RAB04h,106.2467332234675,168.84439086914062,1
RAB05h,90.94835684126835,148.7163874308268,3
